Exemplar_Size,Task 2,Method
100,0.0,EWC_Replay
100,0.148,EWC_Replay
100,0.3316582914572864,EWC_Replay
100,0.0373443983402489,EWC_Replay
100,0.0040650406504065,EWC_Replay
100,0.0723981900452488,EWC_Replay
100,0.2149999999999999,EWC_Replay
100,0.0,EWC_Replay
100,0.1541666666666666,EWC_Replay
100,0.0585585585585585,EWC_Replay
100,0.059090909090909,EWC_Replay
100,0.02,EWC_Replay
100,0.2857142857142857,EWC_Replay
100,0.0195121951219512,EWC_Replay
100,0.1535269709543568,EWC_Replay
100,0.1690140845070422,EWC_Replay
100,0.1707317073170731,EWC_Replay
100,0.1773399014778325,EWC_Replay
100,0.2079646017699115,EWC_Replay
100,0.0977777777777777,EWC_Replay
100,0.1979695431472081,EWC_Replay
100,0.0192307692307692,EWC_Replay
100,0.0468085106382978,EWC_Replay
100,0.1513761467889908,EWC_Replay
100,0.0407239819004524,EWC_Replay
100,0.0092592592592592,EWC_Replay
100,0.0663716814159292,EWC_Replay
100,0.0871369294605809,EWC_Replay
100,0.1491228070175438,EWC_Replay
100,0.174757281553398,EWC_Replay
235,0.0950413223140496,EWC_Replay
235,0.172,EWC_Replay
235,0.2160804020100502,EWC_Replay
235,0.1120331950207469,EWC_Replay
235,0.0934959349593496,EWC_Replay
235,0.1221719457013574,EWC_Replay
235,0.27,EWC_Replay
235,0.1446808510638297,EWC_Replay
235,0.15,EWC_Replay
235,0.045045045045045,EWC_Replay
235,0.05,EWC_Replay
235,0.24,EWC_Replay
235,0.2764976958525346,EWC_Replay
235,0.0146341463414634,EWC_Replay
235,0.1576763485477178,EWC_Replay
235,0.1737089201877934,EWC_Replay
235,0.2,EWC_Replay
235,0.2266009852216748,EWC_Replay
235,0.0044247787610619,EWC_Replay
235,0.0711111111111111,EWC_Replay
235,0.2131979695431471,EWC_Replay
235,0.1586538461538461,EWC_Replay
235,0.0723404255319148,EWC_Replay
235,0.1743119266055046,EWC_Replay
235,0.0769230769230769,EWC_Replay
235,0.2268518518518518,EWC_Replay
235,0.1725663716814159,EWC_Replay
235,0.0,EWC_Replay
235,0.175438596491228,EWC_Replay
235,0.2135922330097087,EWC_Replay
554,0.0454545454545454,EWC_Replay
554,0.288,EWC_Replay
