Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Task 5,Method
100,0.9890410958904109,0.7777777777777778,0.5902097902097903,0.5216867469879519,0.4095238095238095,EWC_Replay
100,0.9875,0.9565217391304348,0.7530434782608696,0.49559748427672956,0.46571428571428564,EWC_Replay
100,0.9857142857142858,0.7771929824561403,0.3602941176470588,0.4352941176470588,0.27904761904761904,EWC_Replay
100,1.0,0.7093525179856115,0.5636363636363636,0.33191489361702126,0.10285714285714283,EWC_Replay
100,0.9894736842105264,0.7784172661870503,0.5876543209876544,0.4042553191489361,0.10285714285714283,EWC_Replay
100,0.9917808219178081,0.7726495726495728,0.6251748251748251,0.37108433734939755,0.39428571428571424,EWC_Replay
100,0.991578947368421,0.8745762711864407,0.6012345679012345,0.5329787234042553,0.10761904761904757,EWC_Replay
100,0.9936842105263158,0.8864406779661017,0.16999999999999993,0.28795180722891567,0.4,EWC_Replay
100,0.9866666666666667,0.8979166666666666,0.601639344262295,0.5048192771084338,0.38285714285714284,EWC_Replay
100,0.9714285714285715,0.2404040404040404,0.5104895104895105,0.5216867469879519,0.42857142857142855,EWC_Replay
100,0.9890410958904109,0.6541666666666667,0.592857142857143,0.3945652173913043,0.36476190476190473,EWC_Replay
100,1.0,0.9880341880341881,0.6732919254658385,0.3684782608695652,0.299047619047619,EWC_Replay
100,0.9880597014925373,0.9419354838709678,0.2,0.43734939759036146,0.4523809523809524,EWC_Replay
100,1.0,0.6701754385964913,0.4254545454545454,0.3180851063829787,0.10285714285714283,EWC_Replay
100,0.9636363636363636,0.24242424242424238,0.4755244755244755,0.5144578313253012,0.38095238095238093,EWC_Replay
100,1.0,0.9931623931623932,0.7706293706293706,0.48235294117647065,0.33238095238095233,EWC_Replay
100,0.9822222222222221,0.9797752808988764,0.530827067669173,0.6195652173913044,0.4019047619047619,EWC_Replay
100,1.0,0.6,0.6812030075187969,0.4717391304347826,0.29619047619047617,EWC_Replay
100,0.9894736842105264,0.8958677685950412,0.4180555555555555,0.4212765957446808,0.22190476190476188,EWC_Replay
100,0.9857142857142858,0.7859649122807018,0.3313868613138686,0.16477987421383644,0.35523809523809524,EWC_Replay
100,0.9857142857142858,0.6795698924731182,0.3763888888888889,0.12771084337349398,0.36857142857142855,EWC_Replay
100,0.9917808219178081,0.8358974358974359,0.4099378881987577,0.45434782608695656,0.29904761904761906,EWC_Replay
100,0.9958333333333332,0.9434782608695652,0.76,0.4930817610062893,0.49523809523809514,EWC_Replay
100,0.9894736842105264,0.5452991452991454,0.4111888111888112,0.2855421686746987,0.37523809523809526,EWC_Replay
100,0.9873684210526317,0.8760330578512396,0.3736111111111111,0.43617021276595747,0.18571428571428567,EWC_Replay
100,0.9891891891891891,0.8220000000000001,0.6722222222222223,0.35301204819277104,0.35809523809523797,EWC_Replay
100,0.940909090909091,0.39454545454545453,0.3544117647058823,0.280503144654088,0.34666666666666657,EWC_Replay
100,1.0,0.7333333333333334,0.6671328671328671,0.519277108433735,0.39238095238095233,EWC_Replay
100,1.0,0.69438202247191,0.48872180451127817,0.583695652173913,0.3666666666666667,EWC_Replay
100,1.0,0.9804347826086957,0.6695652173913043,0.5333333333333333,0.4666666666666666,EWC_Replay
195,0.9917808219178081,0.7595959595959596,0.5580419580419581,0.5265060240963856,0.3857142857142857,EWC_Replay
195,1.0,0.9543478260869565,0.7495652173913043,0.5509433962264151,0.4552380952380952,EWC_Replay
195,0.9857142857142858,0.7508771929824561,0.4602941176470588,0.5080213903743316,0.25809523809523804,EWC_Replay
