Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Task 5,Method
100,0.9819494584837544,0.5787321063394683,0.551056338028169,0.3609467455621302,0.2925877763328999,EWC_Replay
100,0.9947089947089948,0.7746781115879828,0.3720930232558139,0.5370650529500757,0.47074122236671,EWC_Replay
100,0.9840425531914894,0.6437389770723104,0.4707903780068728,0.427536231884058,0.3498049414824447,EWC_Replay
100,0.991869918699187,0.9216152019002376,0.3643410852713178,0.1563025210084033,0.223667100130039,EWC_Replay
100,0.9907407407407408,0.7213541666666666,0.2540650406504065,0.2050420168067226,0.2249674902470741,EWC_Replay
100,0.9947089947089948,0.6271929824561403,0.3209219858156028,0.3988005997001499,0.4161248374512353,EWC_Replay
100,0.983957219251337,0.5552763819095478,0.476,0.3361344537815126,0.223667100130039,EWC_Replay
100,0.9822695035460992,0.6148409893992933,0.3388804841149773,0.4018567639257294,0.2366710013003901,EWC_Replay
100,0.9893617021276596,0.7995824634655533,0.3048780487804878,0.512743628185907,0.3927178153446033,EWC_Replay
100,0.990909090909091,0.8129032258064516,0.3263525305410122,0.2162162162162162,0.2210663198959687,EWC_Replay
100,0.9710144927536232,0.572938689217759,0.6307420494699647,0.3175074183976261,0.305591677503251,EWC_Replay
100,0.9819494584837544,0.795131845841785,0.5428571428571428,0.3100890207715133,0.3706111833550065,EWC_Replay
100,0.9897959183673468,0.6525735294117647,0.3634969325153374,0.2053973013493253,0.3237971391417425,EWC_Replay
100,0.973404255319149,0.6047904191616766,0.5465116279069767,0.4285714285714285,0.2457737321196358,EWC_Replay
100,0.976303317535545,0.5616161616161616,0.4251700680272108,0.2563718140929535,0.3042912873862158,EWC_Replay
100,0.9710144927536232,0.8875255623721882,0.627147766323024,0.5376811594202898,0.223667100130039,EWC_Replay
100,0.850187265917603,0.6564748201438849,0.3450087565674256,0.357566765578635,0.3836150845253576,EWC_Replay
100,0.9692307692307692,0.7877697841726619,0.3930197268588771,0.2400530503978779,0.2795838751625488,EWC_Replay
100,0.9850746268656716,0.5072463768115942,0.3813387423935091,0.3495798319327731,0.3459037711313394,EWC_Replay
100,0.9840425531914894,0.6482504604051565,0.2491039426523297,0.313161875945537,0.2678803641092327,EWC_Replay
100,0.991869918699187,0.715,0.7383367139959433,0.4842578710644677,0.3680104031209363,EWC_Replay
100,0.9947089947089948,0.7948207171314741,0.5714285714285714,0.4169139465875371,0.3237971391417425,EWC_Replay
100,0.9847715736040608,0.5655913978494623,0.4172535211267605,0.2874432677760968,0.2665799739921977,EWC_Replay
100,0.9907407407407408,0.7525773195876289,0.3900709219858156,0.376311844077961,0.3875162548764629,EWC_Replay
100,0.991869918699187,0.9396135265700484,0.3002028397565923,0.361344537815126,0.4252275682704811,EWC_Replay
100,0.994475138121547,0.8345864661654135,0.4816753926701571,0.3698224852071006,0.4564369310793238,EWC_Replay
100,0.9914529914529916,0.8643006263048016,0.2849462365591398,0.3116490166414523,0.2795838751625488,EWC_Replay
100,0.9894179894179894,0.7463917525773196,0.445578231292517,0.1244377811094452,0.2145643693107932,EWC_Replay
100,0.9819494584837544,0.8166969147005445,0.2807283763277693,0.1632047477744807,0.2457737321196358,EWC_Replay
100,0.990909090909091,0.7467811158798283,0.3756708407871199,0.2783661119515885,0.1833550065019505,EWC_Replay
300,0.9819494584837544,0.7791411042944786,0.4753521126760563,0.4659763313609467,0.365409622886866,EWC_Replay
300,0.9947089947089948,0.7703862660944206,0.3184257602862254,0.3615733736762481,0.3211963589076723,EWC_Replay
300,0.9787234042553192,0.6313932980599647,0.5051546391752577,0.4289855072463768,0.2561768530559167,EWC_Replay
300,0.991869918699187,0.9287410926365796,0.3875968992248062,0.1378151260504201,0.2210663198959687,EWC_Replay
300,0.9907407407407408,0.7734375,0.4247967479674797,0.2655462184873949,0.2275682704811443,EWC_Replay
300,0.9947089947089948,0.7828947368421053,0.3812056737588652,0.4032983508245877,0.3628088426527958,EWC_Replay
300,1.0,0.914572864321608,0.41,0.2302521008403361,0.2249674902470741,EWC_Replay
300,0.9822695035460992,0.7526501766784452,0.5537065052950075,0.4814323607427055,0.3003901170351105,EWC_Replay
300,0.9893617021276596,0.9561586638830898,0.3153310104529617,0.3703148425787106,0.3355006501950585,EWC_Replay
300,0.990909090909091,0.7720430107526882,0.5008726003490401,0.46996996996997,0.2769830949284785,EWC_Replay
300,0.967391304347826,0.5771670190274841,0.6183745583038869,0.3115727002967359,0.4915474642392717,EWC_Replay
300,0.9855595667870036,0.6146044624746451,0.3226890756302521,0.2611275964391691,0.2821846553966189,EWC_Replay
300,0.979591836734694,0.625,0.3358895705521472,0.1484257871064467,0.3263979193758127,EWC_Replay
300,0.9787234042553192,0.6467065868263473,0.3585271317829457,0.2672268907563025,0.223667100130039,EWC_Replay
300,0.976303317535545,0.7616161616161616,0.5272108843537415,0.3043478260869565,0.3836150845253576,EWC_Replay
300,0.967391304347826,0.5869120654396728,0.5292096219931272,0.3202898550724637,0.2678803641092327,EWC_Replay
300,0.8389513108614233,0.7122302158273381,0.4553415061295972,0.3471810089020771,0.3068920676202861,EWC_Replay
300,0.964102564102564,0.7607913669064749,0.4324734446130501,0.3793103448275862,0.1794538361508452,EWC_Replay
300,0.9900497512437813,0.533816425120773,0.4259634888438134,0.5260504201680672,0.3198959687906372,EWC_Replay
300,0.973404255319149,0.6224677716390423,0.4229390681003584,0.4357034795763994,0.4525357607282184,EWC_Replay
300,0.991869918699187,0.7125,0.565922920892495,0.2683658170914543,0.3485045513654096,EWC_Replay
300,0.9947089947089948,0.7749003984063745,0.5764705882352941,0.2640949554896142,0.3211963589076723,EWC_Replay
300,0.9847715736040608,0.5698924731182796,0.4348591549295774,0.3630862329803328,0.3628088426527958,EWC_Replay
300,0.9907407407407408,0.7443298969072165,0.3315602836879432,0.2908545727136432,0.3133940182054616,EWC_Replay
